request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,689.4,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 1302.4 by 2024-08-15. Although EUR 689.4 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 1100 minimum."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. This leaves at least ZAR 28300 available over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,5948819.36,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 18164000 by 2024-11-15. Although IDR 5948819.36 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 16588900 minimum."
request_32,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35700 minimum protected.
request_33,51782.22,not_affordable,not_recommended,none,,none,"Do not proceed with INR 118000 by 2026-03-15. Although INR 51782.22 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 102100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,56578.66,not_affordable,not_recommended,none,,none,"Do not proceed with INR 212000 by 2026-01-15. Although INR 56578.66 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 106400 minimum."
request_36,921.23,not_affordable,not_recommended,none,,none,"Do not proceed with USD 3954 by 2026-09-15. Although USD 921.23 is available today, the full amount cannot be completed safely within 90 days while protecting the USD 2400 minimum."
request_37,6828914.15,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 14649000 by 2024-05-15. Although IDR 6828914.15 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 17056200 minimum."
request_38,264.82,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 971.3 by 2025-10-15. Although EUR 264.82 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 400 minimum."
request_39,151147.49,not_affordable,not_recommended,none,,none,"Do not proceed with INR 208600 by 2026-06-15. Although INR 151147.49 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 213400 minimum."
request_40,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1500 minimum protected.
request_41,13895313.67,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 38760000 by 2026-01-15. Although IDR 13895313.67 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 25366600 minimum."
request_42,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15. None of the available options keeps the INR 113100 minimum protected.
request_43,9868266.98,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 43339000 by 2024-11-15. Although IDR 9868266.98 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 21398000 minimum."
request_44,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the INR 82900 minimum protected.
request_45,6423770.75,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 21983000 by 2026-09-15. Although IDR 6423770.75 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 11149800 minimum."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25714, starting 2024-12-03. This leaves at least INR 84000 available."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 30049000 available over the next 90 days.
request_48,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-24. None of the available options keeps the INR 71300 minimum protected.
request_49,20228793.34,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-04,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20275700 available."
request_50,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-21. None of the available options keeps the INR 99700 minimum protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,26530,not_affordable,not_recommended,none,,none,"Do not proceed with INR 28870 by 2024-07-09. Although INR 26530 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 41500 minimum."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-07,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available."
request_54,10088.84,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 121528 by 2026-08-21. Although ZAR 10088.84 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 37000 minimum."
request_55,148698.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-08,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available."
