request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,Pay ZAR 25256 today. This leaves at least ZAR 18000 available over the next 90 days.
request_02,21352091.16,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-05,none,"Use 3 installments of IDR 15952906.67, starting 2025-08-08. This leaves at least IDR 29158400 available."
request_03,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2019-11-15. None of the available options keeps the IDR 2668700 minimum protected.
request_04,12693000,affordable_now,full_payment,2024-06-04:12693000,2024-06-04,none,Pay IDR 12693000 today. This leaves at least IDR 30686600 available over the next 90 days.
request_05,15488,affordable_now,full_payment,2025-11-06:15488,2025-11-06,none,Pay ZAR 15488 today. This leaves at least ZAR 13100 available over the next 90 days.
request_06,620.4,affordable_now,full_payment,2026-01-03:620.4,2026-01-03,none,Pay EUR 620.4 today. This leaves at least EUR 800 available over the next 90 days.
request_07,103080.99,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-05,none,"Use 3 installments of INR 68432, starting 2024-09-12. This leaves at least INR 93000 available."
request_08,736.57,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 996.6 by 2025-04-15. Although EUR 736.57 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 800 minimum."
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This leaves at least EUR 600 available over the next 90 days.
request_10,220825.27,affordable_with_plan,partial_payment,2024-12-06:220825.27|2024-12-06:45874.73,2024-12-06,none,Pay INR 220825.27 today and the remaining INR 45874.73 on 2024-12-06. This completes the full request and keeps the INR 225400 minimum protected.
request_11,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-12. None of the available options keeps the IDR 34140600 minimum protected.
request_12,65164,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22590.19, starting 2026-04-19. This leaves at least ZAR 43200 available."
request_13,272.59,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 941.6 by 2024-05-15. Although EUR 272.59 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 1300 minimum."
request_14,759.82,affordable_with_plan,partial_payment,2025-08-04:759.82|2025-08-04:4654.38,2025-08-04,none,Pay EUR 759.82 today and the remaining EUR 4654.38 on 2025-08-04. This completes the full request and keeps the EUR 2200 minimum protected.
request_15,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-02-01. None of the available options keeps the EUR 1200 minimum protected.
request_16,122500,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,Pay INR 122500 today. This leaves at least INR 122400 available over the next 90 days.
request_17,274600,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01,none,"Use 3 installments of INR 95194.67, starting 2026-03-01. This leaves at least INR 166100 available."
request_18,802.04,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 3246.1 by 2026-09-15. Although EUR 802.04 is available today, the full amount cannot be completed safely within 90 days while protecting the EUR 1400 minimum."
request_19,39660,affordable_with_plan,installments,2024-09-04:20623.2|2024-10-02:20623.2,2024-09-04,none,"Use 2 installments of INR 20623.2, starting 2024-09-04. This leaves at least INR 92800 available."
request_20,23818.52,not_affordable,not_recommended,none,,none,"Do not proceed with INR 303700 by 2026-02-22. Although INR 23818.52 is available today, the full amount cannot be completed safely within 90 days while protecting the INR 64500 minimum."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,Pay USD 1574.4 today. This leaves at least USD 1800 available over the next 90 days.
request_22,534.12,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-05,none,"Use 3 installments of EUR 253.59, starting 2024-12-08. This leaves at least EUR 500 available."
request_23,11917.43,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 38016 by 2025-07-15. Although ZAR 11917.43 is available today, the full amount cannot be completed safely within 90 days while protecting the ZAR 27000 minimum."
request_24,20199.25,affordable_with_plan,partial_payment,2026-01-04:20199.25|2026-01-04:89400.75,2026-01-04,none,Pay INR 20199.25 today and the remaining INR 89400.75 on 2026-01-04. This completes the full request and keeps the INR 51000 minimum protected.
request_25,4320057.59,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 60496000 by 2024-04-17. Although IDR 4320057.59 is available today, the full amount cannot be completed safely within 90 days while protecting the IDR 23379100 minimum."
